"Polarized Data for B=1.5T, filter rotated 0, 30, 60, 90 from noon to 3 on a clockface"
Wavelength(A)_MDPX,"Signal Strength, theta=0","Signal Strength, theta=30","Signal Strength, theta=60","Signal Strength, theta=90"
4457.156784645257,-0.028665816676810167,-0.027036322807145408,-0.025711784841274208,-0.008894327085217573
4457.179021239731,-0.011700197014567253,-0.011431032709348598,-0.005922839667916743,-0.020033629556342268
4457.201257834205,-0.028383484125698705,-0.027498321527145972,-0.023016792307937586,-0.0008093494852077137
4457.223494428678,-0.01809117930790838,-0.009275038682679301,-0.00905416432569834,-0.003273342658544052
4457.245731023151,0.0054964220076759406,0.004482256535115253,-0.007052169872362565,0.012588613394808625
4457.267967617625,0.014248731092131059,0.005457587166227554,0.01892242482989133,0.01248594701258628
4457.290204212099,-0.006669544285672229,-0.005810048282675076,-0.008001833907919276,-0.012410650676332973
4457.312440806571,-0.01033986745012115,-0.014151691838240802,-0.014136150245704535,-0.024910282711903774
4457.334677401045,-0.001484891983443684,-0.023058000496029442,0.0005708090076467321,-0.004582339031878982
4457.356913995519,-0.008748538525674764,-0.015204022256019864,-0.011133158565700877,-0.02552628100523786
4457.379150589993,-0.046093435059053646,-0.030013647891593484,-0.037313086032399474,-0.05073087784082414
4457.401387184465,-0.0031532206945568296,-0.005887048069341837,0.00475446408320739,-0.0020413460718758827
4457.423623778939,-0.0243024954323604,-0.010455702078236297,-0.02355579081460492,-0.01631197320078218
4457.445860373413,-0.029564147521255708,-0.013766692904907004,-0.024736454210161914,-0.01785196893411739
4457.468096967887,-0.027844485619031387,-0.06035156383829715,-0.04763105744574538,-0.04364689746748218
4457.49033356236,-0.02322449841902575,-0.006451713171564748,-0.017087808734597025,-0.006276334338547714
4457.512570156833,-0.013727858063458614,-0.01166203206934888,-0.024325788681272522,-0.015798641289670436
4457.534806751307,-0.01621751783235054,-0.020773673491582212,-0.034746426476840786,-0.014746310871891377
4457.55704334578,-0.026304489885696176,-0.013022361633794981,-0.020886464876823878,-0.00712333199188208
4457.579279940253,-0.030642144534590358,-0.030911978736039025,-0.01937213573904426,-0.020367295298564896
4457.601516534727,-0.02427682883680481,-0.017103350327133292,-0.021143130832379748,-0.025628947387460202
4457.623753129201,-0.031078476659035334,-0.03568596550937818,-0.042138405996849794,-0.016286306605226585
4457.645989723675,-0.00453921685455852,0.007023249495118352,-0.0056148405212497,-0.0018616799029867747
4457.668226318147,-0.039163454259045195,-0.026574324087144843,-0.010876492610145005,-0.01251331705855532
4457.690462912621,-0.00012456241899758068,-0.017796348407134135,-0.012621821107924912,-0.012128318125221516
4457.712699507095,-0.015935185281239085,-0.026214991749366624,-0.024069122725716655,-0.022651622303012132
4457.734936101569,-0.023352831396803685,-0.013150694611572917,-0.016035478316817963,-0.015849974480781612
4457.757172696041,-0.006669544285672229,-0.01941334392713611,-0.01239082174792463,-0.00483900498743485
4457.779409290515,-0.02833215093458754,-0.00717037784712118,-1.952269013176558e-05,-0.014258645556335226
4457.801645884989,0.019895382114360167,-0.005527715731563621,0.00295780239431631,0.0039646372881314415
4457.823882479462,-0.010391200641232324,-0.0166926847982439,-0.020552799134601254,-0.0006553499118741925
4457.846119073936,-0.005719880250115515,-0.008864373153789911,-0.023273458263493457,-0.02177895805412218
4457.868355668409,-0.025662824996806503,-0.04243628014049752,-0.024813453996828674,-0.03692224943191842
4457.890592262883,-0.005617213867893168,0.006715250348451309,0.004164132385428892,-0.00075801629409654
4457.912828857356,0.006369086256565894,-0.008684706984900804,-0.008540832414586605,-0.0117689857874433
4457.935065451829,-0.027767485832364627,-0.01671835139379949,-0.017832140005709048,-0.012076984934110344
4457.957302046303,-4.756263233082013e-05,-0.006015381047119771,-0.003381846707913644,-0.011281320471887152
4457.979538640777,0.007010751145455565,-0.01417735843379639,-0.008412499436808668,-0.0038893409518781365
4458.0017752352505,-0.017295514845685186,-0.015460688211575733,-0.00415184457458125,-0.005378003494102174
4458.024011829723,-0.008440539379007721,-0.01784768159824531,-0.008925831347920408,-0.01382231343189025
4458.046248424197,0.008987079003235754,0.002197929530668023,0.0011098075143140562,0.007275628114802146
4458.068485018671,-0.049584092054613456,-0.0416919488693855,-0.038930081552401435,-0.03479192200080471
4458.0907216131445,-0.02119683737013439,-0.008351041242678174,-0.007360169019029607,-0.010896321538553348
4458.112958207617,-0.005745546845671102,-0.005989714451564185,-0.006949503490140217,-0.0075853307118826435
4458.135194802091,-0.0008945602856651864,0.0031475935662247365,-0.01418748343681571,-0.016953638089671843
4458.157431396565,-0.05127808736128219,-0.03835529144715921,-0.027405780147942947,-0.029966602036354387
4458.179667991038,-0.01696184910346256,-0.023058000496029442,-0.022375127419047916,-0.022600289111900953
4458.201904585511,0.010629741118793312,0.008357912464008868,0.004651797700985043,0.010278619794805809
4458.224141179985,-0.03711012661459824,-0.013535693544906718,-0.04473073214796407,-0.02765660843635156
